file, compression, expansion
0005_00.obj,0.2773408889770508,0.12094688415527344
0009_00.obj,0.17244482040405273,0.004083871841430664
0017_00.obj,0.15639209747314453,0.003187894821166992
0021_00.obj,0.1563429832458496,0.003226041793823242
0033_00.obj,0.14843201637268066,0.0035851001739501953
0015_00.obj,0.14217114448547363,0.003412961959838867
0007_00.obj,0.21162986755371094,0.0034728050231933594
0019_00.obj,0.1714611053466797,0.004211902618408203
0031_00.obj,0.18360233306884766,0.004871845245361328
0023_00.obj,0.15607309341430664,0.003183126449584961
0027_00.obj,0.15187525749206543,0.0040738582611083984
0003_00.obj,0.11782073974609375,0.005414009094238281
0011_00.obj,0.21773099899291992,0.003387928009033203
0029_00.obj,0.16067790985107422,0.0032739639282226562
0025_00.obj,0.16173434257507324,0.0044879913330078125
0013_00.obj,0.14896893501281738,0.003737211227416992
0001_00.obj,0.1127631664276123,0.004452943801879883
0020_00.obj,0.15302824974060059,0.00409698486328125
0032_00.obj,0.23820209503173828,0.004422187805175781
0004_00.obj,0.10768508911132812,0.0032739639282226562
0016_00.obj,0.15918517112731934,0.00410008430480957
0008_00.obj,0.13337492942810059,0.004202842712402344
0030_00.obj,0.15458416938781738,0.00432896614074707
0022_00.obj,0.15311384201049805,0.004232168197631836
0014_00.obj,0.2576332092285156,0.00458979606628418
0018_00.obj,0.15661001205444336,0.00380706787109375
0006_00.obj,0.11200308799743652,0.0033316612243652344
0002_00.obj,0.11219573020935059,0.004034996032714844
0010_00.obj,0.13948893547058105,0.00506901741027832
0026_00.obj,0.16713786125183105,0.0031027793884277344
0012_00.obj,0.18619322776794434,0.030604124069213867
0000_00.obj,0.11261510848999023,0.004420042037963867
0028_00.obj,0.15964126586914062,0.004437923431396484
0024_00.obj,0.1755530834197998,0.00397491455078125
